2025-10-20 21:58:30.479170,Cats are now Britain's favourite pet: there are 7.7 million cats as opposed to 6.6 million dogs.,96
2025-10-20 21:58:30.662424,"On average, a cat will sleep for 16 hours a day.",48
2025-10-20 21:58:30.848659,"Lions are the only cats that live in groups, called prides. Every female within the pride is usually related.",109
2025-10-20 21:58:31.312673,"Cats sleep 16 to 18 hours per day. When cats are asleep, they are still alert to incoming stimuli. If you poke the tail of a sleeping cat, it will respond accordingly.",167
2025-10-20 21:58:31.496655,"Long, muscular hind legs enable snow leopards to leap seven times their own body length in a single bound.",106
2025-10-20 21:58:31.679558,"In relation to their body size, cats have the largest eyes of any mammal.",73
2025-10-20 21:58:31.864928,Many cats cannot properly digest cow's milk. Milk and milk products give them diarrhea.,87
2025-10-20 21:58:32.054488,"During the time of the Spanish Inquisition, Pope Innocent VIII condemned cats as evil and thousands of cats were burned. Unfortunately, the widespread killing of cats led to an explosion of the rat population, which exacerbated the effects of the Black Death.",259
2025-10-20 21:58:32.242177,"The most popular pedigreed cat is the Persian cat, followed by the Main Coon cat and the Siamese cat.",101
2025-10-20 21:58:32.420959," A cat only has the ability to move their jaw up and down, not side to side like a human can.",93
